product_id,name,category,price_excl_vat,reference_image_path
0,"Ambroise, Fragrance World",Perfume,15.0,"products/Ambroise, Fragrance World/image16.jpeg"
1,"Ameer Al Arab, Asdaaf",Perfume,10.0,"products/Ameer Al Arab, Asdaaf/image0.jpeg"
2,"Banana Bliss, Ministry of Gourmand",Perfume,18.0,"products/Banana Bliss, Ministry of Gourmand/image5.jpeg"
3,"Bint Hooran, Ard al zaafaran",Perfume,15.0,"products/Bint Hooran, Ard al zaafaran/image0.jpeg"
4,"Brume Barbe à Papa, Gris Montaigne",Perfume,5.0,"products/Brume Barbe à Papa, Gris Montaigne/image26.jpeg"
5,"Candy Dream, Loui Martin",Perfume,15.0,"products/Candy Dream, Loui Martin/image34.jpeg"
6,"Caramel Glaze, Loui Martin",Perfume,15.0,"products/Caramel Glaze, Loui Martin/image0.jpeg"
7,"Carissa 62, Loui Martin",Perfume,15.0,"products/Carissa 62, Loui Martin/image23.jpeg"
8,"Coffee Blend, Maison Asrar",Perfume,18.0,"products/Coffee Blend, Maison Asrar/image31.jpeg"
9,"Crème Brulée, Collection étoilée",Perfume,7.0,"products/Crème Brulée, Collection étoilée/image15.jpeg"
10,"Esta Puro, Volaré",Perfume,15.0,"products/Esta Puro, Volaré/image10.jpeg"
11,"Kenzie Classic Pistachio, Volaré",Perfume,15.0,"products/Kenzie Classic Pistachio, Volaré/image5.jpeg"
12,"Kenzie Marshmallow Dream, Volaré",Perfume,15.0,"products/Kenzie Marshmallow Dream, Volaré/image6 (1).jpeg"
13,"Kenzie Vanilla 70, Volaré",Perfume,15.0,"products/Kenzie Vanilla 70, Volaré/image0.jpeg"
14,"Marshmallow Blush, Paris Corner",Perfume,25.0,"products/Marshmallow Blush, Paris Corner/image0.jpeg"
15,"Marshmallow, Loui Martin",Perfume,15.0,"products/Marshmallow, Loui Martin/image0.jpeg"
16,"Monoi sucrée 35ml, collection platinium",Perfume,1.0,"products/Monoi sucrée 35ml, collection platinium/image0.jpeg"
17,"Musk Collection Toffee, Gulf Orchid Fragrances",Perfume,15.0,"products/Musk Collection Toffee, Gulf Orchid Fragrances/image0.jpeg"
18,"Old Fashioned, Gulf Orchid",Perfume,16.0,"products/Old Fashioned, Gulf Orchid/image0.jpeg"
19,"Pistachio, Loui Martin",Perfume,15.0,"products/Pistachio, Loui Martin/image0.jpeg"
20,"Qaed Al Fursan Black, Lattafa",Perfume,12.0,"products/Qaed Al Fursan Black, Lattafa/image0.jpeg"
21,"Qaed Al Fursan White, Lattafa",Perfume,12.0,"products/Qaed Al Fursan White, Lattafa/image0.jpeg"
22,"Royal Blend Vintage, French Avenue",Perfume,25.0,"products/Royal Blend Vintage, French Avenue/image0.jpeg"
23,"Salty Breeze, Autobiography",Perfume,13.0,"products/Salty Breeze, Autobiography/image0.jpeg"
24,"Shaghaf oud ahmar, Swiss Arabian",Perfume,35.0,"products/Shaghaf oud ahmar, Swiss Arabian/image0.jpeg"
25,"Sugar Rush, Loui Martin",Perfume,15.0,"products/Sugar Rush, Loui Martin/image0.jpeg"
26,"Taskeen Caramel Cascade, Paris corner",Perfume,15.0,"products/Taskeen Caramel Cascade, Paris corner/image0.jpeg"
27,"Taskeen Marina, Paris Corner",Perfume,15.0,"products/Taskeen Marina, Paris Corner/image0.jpeg"
28,"Vanilla Addiction, Gulf Orchid",Perfume,18.0,"products/Vanilla Addiction, Gulf Orchid/image0.jpeg"
29,"Vanilla Powdery, Loui Martin",Perfume,15.0,"products/Vanilla Powdery, Loui Martin/image0.jpeg"
30,"Voux Turquoise, Emir",Perfume,16.0,"products/Voux Turquoise, Emir/image0.jpeg"
